类别：所有类别

月份,invest: (全球)
2010-02,6
2010-03,5
2010-04,7
2010-05,4
2010-06,4
2010-07,4
2010-08,5
2010-09,7
2010-10,6
2010-11,5
2010-12,5
2011-01,6
2011-02,5
2011-03,5
2011-04,5
2011-05,5
2011-06,5
2011-07,5
2011-08,5
2011-09,5
2011-10,4
2011-11,4
2011-12,5
2012-01,6
2012-02,8
2012-03,4
2012-04,6
2012-05,7
2012-06,5
2012-07,5
2012-08,6
2012-09,6
2012-10,7
2012-11,6
2012-12,7
2013-01,7
2013-02,7
2013-03,8
2013-04,7
2013-05,6
2013-06,7
2013-07,6
2013-08,7
2013-09,12
2013-10,12
2013-11,10
2013-12,8
2014-01,10
2014-02,10
2014-03,11
2014-04,9
2014-05,9
2014-06,11
2014-07,10
2014-08,8
2014-09,10
2014-10,10
2014-11,10
2014-12,10
2015-01,12
2015-02,11
2015-03,12
2015-04,10
2015-05,10
2015-06,12
2015-07,11
2015-08,11
2015-09,14
2015-10,13
2015-11,13
2015-12,10
2016-01,15
2016-02,13
2016-03,13
2016-04,13
2016-05,12
2016-06,13
2016-07,14
2016-08,15
2016-09,15
2016-10,15
2016-11,19
2016-12,16
2017-01,22
2017-02,22
2017-03,22
2017-04,20
2017-05,23
2017-06,29
2017-07,31
2017-08,20
2017-09,21
2017-10,23
2017-11,26
2017-12,40
2018-01,40
2018-02,26
2018-03,20
2018-04,19
2018-05,20
2018-06,20
2018-07,21
2018-08,21
2018-09,24
2018-10,24
2018-11,20
2018-12,21
2019-01,23
2019-02,23
2019-03,24
2019-04,22
2019-05,25
2019-06,24
2019-07,26
2019-08,25
2019-09,27
2019-10,25
2019-11,27
2019-12,27
2020-01,32
2020-02,33
2020-03,39
2020-04,41
2020-05,39
2020-06,41
2020-07,44
2020-08,46
2020-09,43
2020-10,42
2020-11,47
2020-12,57
2021-01,87
2021-02,78
2021-03,71
2021-04,79
2021-05,97
2021-06,82
2021-07,73
2021-08,76
2021-09,81
2021-10,86
2021-11,92
2021-12,84
2022-01,100
2022-02,90
2022-03,80
2022-04,81
2022-05,78
2022-06,72
2022-07,75
2022-08,77
2022-09,80
2022-10,76
2022-11,77
2022-12,74
2023-01,85
