类别：所有类别

月份,invest: (全球)
2010-02,44
2010-03,48
2010-04,45
2010-05,42
2010-06,39
2010-07,38
2010-08,40
2010-09,42
2010-10,42
2010-11,40
2010-12,37
2011-01,42
2011-02,42
2011-03,43
2011-04,40
2011-05,39
2011-06,36
2011-07,36
2011-08,39
2011-09,37
2011-10,39
2011-11,39
2011-12,34
2012-01,38
2012-02,40
2012-03,40
2012-04,38
2012-05,37
2012-06,32
2012-07,33
2012-08,33
2012-09,36
2012-10,35
2012-11,34
2012-12,32
2013-01,38
2013-02,38
2013-03,38
2013-04,34
2013-05,35
2013-06,32
2013-07,33
2013-08,33
2013-09,37
2013-10,42
2013-11,37
2013-12,34
2014-01,41
2014-02,41
2014-03,38
2014-04,36
2014-05,36
2014-06,37
2014-07,35
2014-08,36
2014-09,38
2014-10,36
2014-11,38
2014-12,35
2015-01,43
2015-02,42
2015-03,42
2015-04,40
2015-05,37
2015-06,34
2015-07,38
2015-08,38
2015-09,37
2015-10,36
2015-11,37
2015-12,35
2016-01,40
2016-02,39
2016-03,39
2016-04,39
2016-05,36
2016-06,36
2016-07,35
2016-08,41
2016-09,39
2016-10,38
2016-11,39
2016-12,37
2017-01,44
2017-02,46
2017-03,48
2017-04,43
2017-05,45
2017-06,45
2017-07,44
2017-08,46
2017-09,49
2017-10,51
2017-11,56
2017-12,72
2018-01,71
2018-02,55
2018-03,52
2018-04,47
2018-05,46
2018-06,44
2018-07,44
2018-08,51
2018-09,48
2018-10,51
2018-11,45
2018-12,43
2019-01,50
2019-02,50
2019-03,46
2019-04,50
2019-05,48
2019-06,48
2019-07,49
2019-08,47
2019-09,48
2019-10,47
2019-11,49
2019-12,46
2020-01,59
2020-02,58
2020-03,71
2020-04,69
2020-05,66
2020-06,63
2020-07,69
2020-08,67
2020-09,66
2020-10,57
2020-11,62
2020-12,69
2021-01,100
2021-02,100
2021-03,82
2021-04,90
2021-05,96
2021-06,72
2021-07,67
2021-08,70
2021-09,70
2021-10,74
2021-11,77
2021-12,71
2022-01,86
2022-02,81
2022-03,76
2022-04,77
2022-05,70
2022-06,64
2022-07,63
2022-08,67
2022-09,68
2022-10,63
2022-11,65
2022-12,61
2023-01,69
