类别：所有类别

月份,stock: (全球)
2010-02,31
2010-03,29
2010-04,28
2010-05,30
2010-06,28
2010-07,28
2010-08,31
2010-09,30
2010-10,32
2010-11,29
2010-12,28
2011-01,29
2011-02,30
2011-03,30
2011-04,29
2011-05,27
2011-06,29
2011-07,28
2011-08,31
2011-09,26
2011-10,26
2011-11,26
2011-12,25
2012-01,28
2012-02,27
2012-03,29
2012-04,30
2012-05,29
2012-06,27
2012-07,27
2012-08,27
2012-09,26
2012-10,31
2012-11,27
2012-12,29
2013-01,31
2013-02,30
2013-03,28
2013-04,28
2013-05,27
2013-06,30
2013-07,27
2013-08,28
2013-09,34
2013-10,35
2013-11,31
2013-12,29
2014-01,31
2014-02,33
2014-03,32
2014-04,31
2014-05,27
2014-06,27
2014-07,29
2014-08,28
2014-09,29
2014-10,29
2014-11,31
2014-12,32
2015-01,32
2015-02,34
2015-03,33
2015-04,33
2015-05,34
2015-06,30
2015-07,33
2015-08,34
2015-09,34
2015-10,31
2015-11,30
2015-12,32
2016-01,36
2016-02,34
2016-03,35
2016-04,32
2016-05,33
2016-06,33
2016-07,37
2016-08,34
2016-09,38
2016-10,35
2016-11,37
2016-12,36
2017-01,37
2017-02,36
2017-03,38
2017-04,39
2017-05,38
2017-06,41
2017-07,41
2017-08,30
2017-09,28
2017-10,38
2017-11,29
2017-12,30
2018-01,32
2018-02,32
2018-03,28
2018-04,29
2018-05,26
2018-06,25
2018-07,28
2018-08,29
2018-09,32
2018-10,31
2018-11,29
2018-12,28
2019-01,30
2019-02,30
2019-03,29
2019-04,28
2019-05,29
2019-06,28
2019-07,28
2019-08,29
2019-09,29
2019-10,29
2019-11,31
2019-12,31
2020-01,33
2020-02,38
2020-03,47
2020-04,48
2020-05,47
2020-06,55
2020-07,53
2020-08,52
2020-09,53
2020-10,46
2020-11,55
2020-12,62
2021-01,90
2021-02,100
2021-03,80
2021-04,67
2021-05,67
2021-06,77
2021-07,66
2021-08,65
2021-09,64
2021-10,64
2021-11,65
2021-12,60
2022-01,64
2022-02,60
2022-03,57
2022-04,58
2022-05,62
2022-06,56
2022-07,52
2022-08,59
2022-09,58
2022-10,52
2022-11,61
2022-12,69
2023-01,73
