Symbol,Symbol
NVDA,SU.TO
TSLA,FUU.VN
AMD,SLF.TO
LCID,CPG.TO
BABA,K.TO
PLTR,CVE.TO
INTC,ABX.TO
GRAB,ATH.TO
AMZN,HUT.TO
AAPL,FM.TO
U,TCW.TO
AAL,MFC.TO
NIO,BIR.TO
GOOGL,BTO.TO
CS,SHOP.TO
UBER,VGCX.TO
F,BHC.TO
MSFT,TCF.CN
CCL,ARX.TO
GOOG,TVE.TO
COIN,ENB.TO
RIVN,WCP.TO
SNAP,TA.TO
TSM,BTE.TO
META,T.TO
PDD,KEL.TO
MU,RNW.TO
SHOP,AQN.TO
RYCEY,TECK-B.TO
JD,AC.TO
STLA,WELL.TO
ACI,DFN-PR-A.TO
BAC,RSMX.VN
NU,MEG.TO
NFLX,SGI.VN
ETSY,PEY.TO
ITUB,FOM.VN
PFE,PAAS.TO
GM,LUN.TO
MRVL,CP.TO
CTRA,BCE.TO
SIRI,IVN.TO
EBAY,YRI.TO
LYG,VET.TO
WBD,STN.TO
MRNA,AGI.TO
PBR,TD.TO
BP,CTS.TO
UAL,TOU.TO
T,BB.TO
RBLX,BNS.TO
DVN,FR.TO
OXY,CM.TO
BIDU,LI.VN
SQ,CNQ.TO
DAL,WDO.TO
ON,TRP.TO
GOLD,NTR.TO
UMC,CHE-UN.TO
PYPL,TSLA.NE
ET,FRU.TO
MOS,OBE.TO
NEM,EMO.VN
VALE,CAS.TO
XOM,BN.TO
APA,WEED.TO
HWM,IMG.TO
VOD,RY.TO
PPL,ECN.TO
TCOM,SPB.TO
CSX,ALA.TO
ORCL,TUD.VN
BBD,FRXI.VN
CSCO,YES.VN
BCS,LSPD.TO
KO,KEY.TO
DIS,BBD-B.TO
NOK,QSR.TO
CLF,GLAD.VN
VZ,NVDA.NE
ABEV,EQX.TO
PANW,NPI.TO
ABNB,ANRG.TO
GE,TLRY.TO
FCX,AEM.TO
WFC,DPM.TO
KEY,HBM.TO
ERIC,PPL.TO
TECK,GLXY.TO
MRO,INE.TO
PCG,WPM.TO
AMAT,NXE.TO
CRWD,LAC.TO
CNHI,CCO.TO
MCD,OGC.TO
PINS,ATD.TO
LNG,CHR.TO
CMCSA,BMO.TO
C,REVO.VN
RF,STLC.TO
,PLAN.VN
,AOI.TO
,FTS.TO
,PHOS.CN
,CJ.TO
,DFN.TO
,FVI.TO
,CMMC.TO
,ERF.TO
,AAV.TO
,L.TO
,CIX.TO
,CS.TO
,CNR.TO
,PNPN.VN
,H.TO
,CIA.TO
,ESK.VN
,CAE.TO
,WGO.VN
,ELD.TO
,NA.TO
,TPZ.TO
,RBA.TO
,USCM.VN
,RR.CN
,NVA.TO
,LEV.TO
,EMA.TO
,KRR.TO
,FL.VN
,CR.TO
,HIVE.VN
,BNE.TO
,NPK.TO
,NOW.VN
,MG.TO
,IMO.TO
,BLDP.TO
,MCF.VN
,HTRC.CN
,BRW.VN
,AX-UN.TO
,QBR-B.TO
,SSL.TO
,EIT-UN.TO
,TEA.VN
,FFN.TO
,CG.TO
,BAM.TO
,SBBC.VN
,EFX.TO
,HWX.TO
,SJR-B.TO
,PIPE.TO
,HEXO.TO
,GOOG.NE
,VLE.TO
,IAU.TO
,EWG.CN
,NRM.VN
,KNT.TO
,DBG.VN
,ARE.TO
,SCZ.VN
,DBM.TO
,MRU.TO
,EDV.TO
,NGT.TO
,OVV.TO
,HUGE.CN
,SNC.TO
,ATZ.TO
,GMIN.VN
,MRE.TO
,DIV.TO
,SES.TO
,POW.TO
,BME.VN
,CPX.TO
,EFN.TO
,LUG.TO
,GSVR.VN
,EMP-A.TO
,AXL.VN
,IFP.TO
,PNRG.CN
,WOLF.VN
,IPO.TO
,NICU.VN
,PCLO.VN
,BRC.VN
,OPHR.VN
,RCK.VN
,VUL.VN
,ETL.VN
,FLT.VN
,CD.VN
,CAD.VN
,RMR.VN
,
