类别：所有类别

月份,stock: (全球)
2010-02,17
2010-03,19
2010-04,19
2010-05,18
2010-06,16
2010-07,17
2010-08,16
2010-09,16
2010-10,17
2010-11,18
2010-12,17
2011-01,19
2011-02,19
2011-03,19
2011-04,17
2011-05,16
2011-06,15
2011-07,15
2011-08,21
2011-09,16
2011-10,17
2011-11,16
2011-12,16
2012-01,16
2012-02,18
2012-03,17
2012-04,16
2012-05,18
2012-06,15
2012-07,15
2012-08,16
2012-09,16
2012-10,17
2012-11,17
2012-12,15
2013-01,19
2013-02,18
2013-03,17
2013-04,18
2013-05,18
2013-06,17
2013-07,17
2013-08,17
2013-09,18
2013-10,20
2013-11,20
2013-12,20
2014-01,21
2014-02,21
2014-03,19
2014-04,20
2014-05,18
2014-06,18
2014-07,18
2014-08,18
2014-09,19
2014-10,20
2014-11,19
2014-12,20
2015-01,20
2015-02,21
2015-03,19
2015-04,21
2015-05,19
2015-06,18
2015-07,21
2015-08,25
2015-09,23
2015-10,21
2015-11,21
2015-12,21
2016-01,25
2016-02,26
2016-03,23
2016-04,23
2016-05,23
2016-06,25
2016-07,24
2016-08,22
2016-09,23
2016-10,23
2016-11,28
2016-12,25
2017-01,26
2017-02,29
2017-03,31
2017-04,28
2017-05,26
2017-06,28
2017-07,27
2017-08,28
2017-09,26
2017-10,29
2017-11,33
2017-12,32
2018-01,37
2018-02,38
2018-03,35
2018-04,32
2018-05,32
2018-06,32
2018-07,31
2018-08,36
2018-09,38
2018-10,41
2018-11,34
2018-12,34
2019-01,35
2019-02,34
2019-03,35
2019-04,34
2019-05,34
2019-06,33
2019-07,35
2019-08,37
2019-09,31
2019-10,33
2019-11,34
2019-12,33
2020-01,39
2020-02,47
2020-03,82
2020-04,71
2020-05,61
2020-06,69
2020-07,64
2020-08,60
2020-09,58
2020-10,50
2020-11,63
2020-12,65
2021-01,92
2021-02,100
2021-03,79
2021-04,64
2021-05,59
2021-06,62
2021-07,53
2021-08,51
2021-09,50
2021-10,51
2021-11,60
2021-12,55
2022-01,52
2022-02,57
2022-03,55
2022-04,51
2022-05,50
2022-06,44
2022-07,42
2022-08,45
2022-09,38
2022-10,38
2022-11,41
2022-12,37
2023-01,40
